Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Батуринець,Віктор,Олександрович,Чоловік,1973-03-30,Реставратор,селище Тернопіль,"сквер Митракова, буд. 7 кв. 239, Вараш, 32763",+380 09 425 46 58,ddanko@example.com
Щорс,Болеслав,Миколайович,Чоловік,1947-01-29,Перекладач,місто Довжанськ,"провулок Керченський 2-й, буд. 785 кв. 43, Хоростків, 18111",051 326 19 22,stepanshovkoplias@example.com
Приходько,Петро,Володимирович,Чоловік,1984-04-29,Публіцист,хутір Тлумач,"вулиця Глухівський, буд. 1, Гірське, 02345",+380 (62) 471-62-04,arkhymovychnazar@example.org
Алексійчук,Варфоломій,Іванович,Чоловік,1946-08-16,Математик,хутір Каховка,"набережна Абрикосова, буд. 66, Зіньків, 76875",952 44 27,olha63@example.org
Батюк,Опанас,Сергійович,Чоловік,1993-03-26,Фотограф,село Новодністровськ,"узвіз Бейтельсбахера, буд. 31 кв. 5, Бердянськ, 17004",808-52-63,galeksandrenko@example.com
Лукаш,Єлисей,Васильович,Чоловік,1970-08-22,Золотар,місто Роздільна,"узвіз Нерубайська, буд. 2, Гайворон, 58688",+380 76 093 09 32,mariana63@example.org
Даниленко,Демид,Юрійович,Чоловік,1975-05-31,Детектив,селище Вознесенськ,"шосе Стовпова, буд. 03 кв. 3, Мар'їнка, 26232",013 467 96 56,iaroslavaskyrda@example.net
Усик,Тимофій,Тимофійович,Чоловік,1965-10-02,Архітектор,хутір Дебальцеве,"сквер Лінія 31-ша, буд. 94, Черкаси, 98420",068 978-29-31,hkorbut@example.org
Гоголь,Леонтій,Юрійович,Чоловік,1945-09-26,Няня,хутір Кальміуське,"шосе Чорноморський 4-й, буд. 411 кв. 154, Хуст, 96761",039 870-82-03,spas70@example.net
Забарний,Захар,Олександрович,Чоловік,1972-04-29,Фізик,селище Христинівка,"шосе Ювілейний 2-й, буд. 4, Вугледар, 31436",+380 81 371-96-92,mykytiukavhustyn@example.net
Бабійчук,Ярослав,Павлович,Чоловік,2004-05-22,Краєзнавець,село Голубівка,"вулиця Шахтинський, буд. 4, Умань, 66008",+380 (27) 781-94-42,tieresko@example.org
Христенко,Пантелеймон,Дмитрович,Чоловік,1945-07-11,Бізнесмен,селище Глобине,"вулиця Сосюри, буд. 84, Радивилів, 22606",+380 51 786 54 89,haidamakaanita@example.com
Кибкало,Мирослав,Сергійович,Чоловік,2000-08-25,Реставратор,село Баштанка,"сквер Середньофонтанська, буд. 457, Зугрес, 94695",+380 76 691-15-90,mykhailo81@example.net
Вітрук,Алевтин,Володимирович,Чоловік,1990-07-13,Ґрунтознавець,селище Глиняни,"площа Локомотивний 2-й, буд. 0, Керч, 11073",+380 (38) 077-00-97,sdakhno@example.com
Перепелиця,Омелян,Сергійович,Чоловік,1944-04-09,Стропальник,село Ланівці,"вулиця Лінія 50-та, буд. 5, Долинська, 17806",983 84 81,protsenkomykhailo@example.org
Ґжицький,Антон,Степанович,Чоловік,1997-02-12,Краєзнавець,село Малин,"шосе Азовський, буд. 4 кв. 579, Хорол, 07473",033 782 26 62,feofan14@example.com
Іваничук,Юстим,Арсенійович,Чоловік,1965-07-04,Електротехнік,село Надвірна,"набережна Восьмого березня 3-й, буд. 4, Чистякове, 46523",076 521 51 42,agalagan@example.com
Цимбал,Панас,Романович,Чоловік,1962-09-08,Режисер,село Волноваха,"площа Берестейська, буд. 88 кв. 0, Стебник, 82166",007 888-48-56,ibaida@example.com
Литвин,Миколай,Григорович,Чоловік,1950-12-21,Фармацевт,місто Дебальцеве,"набережна Український 1-й, буд. 23 кв. 51, Підгайці, 78256",039 165-89-22,albert78@example.net
Хмара,Альберт,Романович,Чоловік,1949-03-27,Кінорежисер,хутір Керч,"сквер Каберне, буд. 5 кв. 3, Калинівка, 21008",+380 (66) 973-17-47,priska72@example.com
Бабариченко,Максим,Павлович,Чоловік,1972-05-13,Кухар,село Єнакієве,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 38 кв. 8, Бар, 11977",833-44-44,tymofiihabelko@example.org
Москаль,Макар,Романович,Чоловік,1973-02-09,Пекар,селище Калуш,"проспект Балківська, буд. 63 кв. 0, Городок, 86117",+380 (89) 339-16-00,klavdiiatereshchenko@example.net
Шинкаренко,Демид,Максимович,Чоловік,1969-04-06,Дантист,хутір Щолкіне,"парк Почаївська, буд. 3, Татарбунари, 79466",+380 76 371-00-64,vchornovil@example.net
Бабариченко,Борис,Васильович,Чоловік,1961-01-23,Епідеміолог,місто Погребище,"парк Джевецького, буд. 80 кв. 810, Умань, 23273",+380 26 281-34-55,cprymachenko@example.org
Гресь,Олекса,Арсенійович,Чоловік,1963-03-31,Геофізик,місто Соснівка,"площа Балтський 8-й, буд. 45 кв. 399, Миронівка, 79046",070 912-34-88,zharkoles@example.net
Чубай,Олександр,Степанович,Чоловік,1977-05-08,Геолог,село Хотин,"вулиця Західний 4-й, буд. 798 кв. 175, Лозова, 85336",441 44 07,ihorromanets@example.org
Малишко,Трохим,Володимирович,Чоловік,2008-03-26,Кухар,хутір Черкаси,"площа Ніли Крюкової, буд. 5, Маріуполь, 84805",+380 95 138-60-67,rubetsmaryna@example.org
Адаменко,Юстим,Арсенійович,Чоловік,1998-12-30,Літературознавець,хутір Жданівка,"провулок Ромашкова, буд. 8, Зборів, 44279",056 83 74,lgerus@example.net
Петлюра,Сергій,Сергійович,Чоловік,1961-01-18,Музикознавець,село Мерефа,"сквер Колонтаївська, буд. 53 кв. 49, Бібрка, 14892",+380 16 723-94-15,klavdiiarak@example.com
Лаба,Зорян,Володимирович,Чоловік,2000-12-03,Актор,селище Мелітополь,"набережна Тінистий, буд. 19 кв. 334, Самар, 24582",+380 72 940-96-39,ubebeshko@example.com
Артим,Марко,Васильович,Чоловік,1992-10-11,Актор,селище Ланівці,"вулиця Володимира Хавкіна, буд. 123 кв. 545, Хирів, 20803",+380 (65) 423-84-50,kyrylenkolevko@example.com
Слюсар,Ростислав,Євгенович,Чоловік,1981-05-28,Літературознавець,село Рава-Руська,"вулиця Азовський, буд. 82 кв. 844, Старий Самбір, 68925",098 310 78 64,lesvanchenko@example.net
Франчук,Пантелеймон,Іванович,Чоловік,1988-01-04,Музикант,селище Збараж,"вулиця Солонцюватий, буд. 842, Чуднів, 52531",+380 41 846-34-83,azaruba@example.net
Колесниченко,Болеслав,Степанович,Чоловік,1985-05-16,Астроном,місто Узин,"узвіз Українських Героїв, буд. 4 кв. 10, Новомиргород, 93131",098 18 36,ievtushokvioletta@example.org
Михайличенко,Захар,Павлович,Чоловік,2004-05-22,Клавішник,місто Вижниця,"шосе Дружний, буд. 2, Миколаївка, 25144",045-74-78,nhavriushenko@example.com
Фоменко,Мирослав,Володимирович,Чоловік,1983-05-21,Круп'є,місто Ананьїв,"площа Західний 4-й, буд. 33 кв. 9, Сніжне, 03455",044 454 37 99,omoskal@example.net
Вітрук,Панас,Іванович,Чоловік,1949-09-18,Скульптор,місто Перечин,"площа Віталія Блажка, буд. 312, Здолбунів, 40975",+380 12 417-18-06,tymofiiandreiko@example.net
Годунок,Сергій,Юрійович,Чоловік,1968-12-05,Електрик,хутір Хрестівка,"шосе Десантний, буд. 147 кв. 6, Пирятин, 07835",+380 35 167-02-20,hsirko@example.org
